year,month,calendar_fond,downtime,eto,tr,to2000,to500,to1000,to4000,to_suppl_systems,overhaul_total,to6000,tr_suppl_systems,to12000,tr_middle,eo_code,level_1,eo_model_name,eo_description,teh_mesto,mvz,constr_type,avearage_day_operation_hours_updated,operation_start_date,avearage_day_operation_hours,operation_finish_date,eo_main_class_description
2023,12,744,"72,48","20,46","41,0","0,0","5,0","0,0","0,0","0,0","0,0","8,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,1,744,"70,14","20,46","46,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,2,696,"77,16","19,14","54,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,3,744,"60,14","20,46","41,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,4,720,"104,16","19,8","60,0","0,0","4,0","0,0","13,0","10,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,5,744,"64,14","20,46","40,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,6,720,"82,82000000000001","19,8","60,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,7,744,"526,94","20,46","40,0","8,0","5,0","0,0","0,0","0,0","513,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,8,744,"163,18","20,46","56,0","0,0","0,0","5,0","0,0","0,0","87,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
2024,9,720,"67,14","19,8","44,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",100000062398,first11,Самосвалы CAT 785C,Самосвал карьерный 785C №439,11-RUD-CGTR-SEBT-CC38,1113011620,960000001,"21,2630137",2013-12-13,"21,26",2025-07-01,Самосвалы карьерные
